Country,Year,Attack Type,Target Industry,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Financial Loss (in Million $),Incident Resolution Time (in Ho,Number of Affected Users,Region,Incident Cost Per User ($),Attack Velocity (Per Hour),Financial Loss Score,Resolution Speed Score,User Impact Score,Overal Severity Score,Attack Complexity Score,Vulnerability Complexity Score,Overall Complexity Score,Geopolitical Risk Score
Japan,2022,DDoS,Telecommunications,Nation-state,Social Engineering,Antivirus,104.32,61,248891,East Asia,419.14,4080,1,2,2,2,2,1,2,2
India,2024,Ransomware,IT,Insider,Unpatched Software,Antivirus,119.59,61,316097,South Asia,378.33,5182,1,2,2,2,2,2,2,4
UK,2019,Malware,IT,Hacker Group,Social Engineering,Firewall,65.35,61,302679,Northern Europe,215.91,4962,1,2,2,2,2,1,2,2
Brazil,2019,DDoS,Telecommunications,Nation-state,Weak Passwords,Encryption,175,61,296950,South America,589.32,4868,2,2,2,2,2,1,2,3
USA,2022,Ransomware,Government,Unknown,Unpatched Software,VPN,48.14,61,335264,Northern America,143.59,5496,1,2,2,2,2,2,2,3
France,2024,Phishing,Retail,Hacker Group,Zero-day,Antivirus,34.7,61,314034,Western Europe,110.5,5148,1,2,2,2,1,3,2,2
Brazil,2021,DDoS,Telecommunications,Hacker Group,Unpatched Software,Antivirus,109.22,61,273850,South America,398.83,4489,1,2,2,2,2,2,2,3
Australia,2016,Phishing,Education,Nation-state,Social Engineering,VPN,80.27,61,189511,Oceania,423.56,3107,1,2,1,1,1,1,1,1
USA,2024,Ransomware,Retail,Insider,Weak Passwords,AI-based Detection,44.29,61,387086,Northern America,114.42,6346,1,2,2,2,2,1,2,3
Japan,2023,Phishing,Healthcare,Nation-state,Weak Passwords,Antivirus,110.31,62,342881,East Asia,321.72,5530,1,2,2,2,1,1,1,2
France,2017,Phishing,Healthcare,Nation-state,Social Engineering,AI-based Detection,177.24,62,345342,Western Europe,513.23,5570,2,2,2,2,1,1,1,2
UK,2020,Ransomware,Banking,Unknown,Social Engineering,Firewall,80.62,62,310701,Northern Europe,259.48,5011,1,2,2,2,2,1,2,2
China,2024,DDoS,IT,Nation-state,Social Engineering,Encryption,144.26,62,620256,East Asia,232.58,10004,2,2,3,2,2,1,2,4
India,2017,DDoS,Government,Insider,Zero-day,VPN,105.14,62,248289,South Asia,423.46,4005,1,2,2,2,2,3,3,4
France,2015,DDoS,Banking,Nation-state,Zero-day,Antivirus,178.18,62,174291,Western Europe,1022.31,2811,2,2,1,2,2,3,3,2
Russia,2021,Ransomware,Banking,Insider,Social Engineering,Firewall,69.62,62,303875,Eastern Europe,229.11,4901,1,2,2,2,2,1,2,5
Japan,2017,DDoS,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,123.33,62,203676,East Asia,605.52,3285,1,2,1,1,2,2,2,2
UK,2024,DDoS,Retail,Insider,Zero-day,Antivirus,65.76,62,246644,Northern Europe,266.62,3978,1,2,2,2,2,3,3,2
UK,2016,Ransomware,Banking,Hacker Group,Social Engineering,Encryption,188.91,62,342117,Northern Europe,552.18,5518,2,2,2,2,2,1,2,2
Brazil,2022,Phishing,Telecommunications,Nation-state,Zero-day,Encryption,103.28,62,298604,South America,345.88,4816,1,2,2,2,1,3,2,3
USA,2017,Malware,Government,Hacker Group,Social Engineering,AI-based Detection,58.36,62,289519,Northern America,201.58,4670,1,2,2,2,2,1,2,3
Brazil,2018,DDoS,Healthcare,Insider,Social Engineering,AI-based Detection,102.98,62,230591,South America,446.59,3719,1,2,2,2,2,1,2,3
China,2024,Ransomware,Banking,Insider,Social Engineering,Firewall,139.21,62,393477,East Asia,353.79,6346,2,2,2,2,2,1,2,4
Japan,2023,Phishing,Banking,Hacker Group,Social Engineering,VPN,103.38,62,347224,East Asia,297.73,5600,1,2,2,2,1,1,1,2
Germany,2022,Ransomware,Telecommunications,Unknown,Zero-day,Encryption,89.27,62,280511,Western Europe,318.24,4524,1,2,2,2,2,3,3,2
France,2020,Malware,Healthcare,Hacker Group,Social Engineering,Firewall,142.79,62,309508,Western Europe,461.35,4992,2,2,2,2,2,1,2,2
China,2016,Ransomware,IT,Insider,Unpatched Software,Encryption,88.8,62,231932,East Asia,382.87,3741,1,2,2,2,2,2,2,4
UK,2024,DDoS,Government,Hacker Group,Unpatched Software,Firewall,104.44,62,266194,Northern Europe,392.35,4293,1,2,2,2,2,2,2,2
Russia,2023,Ransomware,Telecommunications,Hacker Group,Weak Passwords,Antivirus,84.4,62,334184,Eastern Europe,252.56,5390,1,2,2,2,2,1,2,5
Germany,2020,DDoS,Banking,Hacker Group,Social Engineering,VPN,190.36,62,299634,Western Europe,635.31,4833,2,2,2,2,2,1,2,2
Brazil,2022,Phishing,Banking,Hacker Group,Social Engineering,AI-based Detection,96.55,62,312833,South America,308.63,5046,1,2,2,2,1,1,1,3
UK,2023,Malware,Education,Nation-state,Zero-day,Antivirus,96.35,62,353536,Northern Europe,272.53,5702,1,2,2,2,2,3,3,2
Japan,2019,Malware,IT,Nation-state,Weak Passwords,Antivirus,121.87,63,301981,East Asia,403.57,4793,1,2,2,2,2,1,2,2
India,2018,DDoS,Healthcare,Hacker Group,Unpatched Software,Firewall,146.37,63,342548,South Asia,427.3,5437,2,2,2,2,2,2,2,4
India,2017,Malware,Telecommunications,Nation-state,Weak Passwords,AI-based Detection,109.06,63,283304,South Asia,384.96,4497,1,2,2,2,2,1,2,4
France,2017,Ransomware,IT,Nation-state,Weak Passwords,Encryption,249.33,63,357767,Western Europe,696.91,5679,2,2,2,2,2,1,2,2
Australia,2018,DDoS,Education,Hacker Group,Zero-day,Encryption,94.09,63,129848,Oceania,724.62,2061,1,2,1,1,2,3,3,1
Russia,2016,DDoS,Banking,Insider,Zero-day,VPN,161.44,63,352554,Eastern Europe,457.92,5596,2,2,2,2,2,3,3,5
USA,2021,Ransomware,Telecommunications,Insider,Unpatched Software,Encryption,150.57,63,456575,Northern America,329.78,7247,2,2,3,2,2,2,2,3
UK,2024,DDoS,Retail,Nation-state,Zero-day,Firewall,69.8,63,250204,Northern Europe,278.97,3971,1,2,2,2,2,3,3,2
Germany,2017,Ransomware,Government,Nation-state,Social Engineering,Encryption,159.16,63,240035,Western Europe,663.07,3810,2,2,2,2,2,1,2,2
India,2021,DDoS,Telecommunications,Nation-state,Zero-day,Firewall,200.46,63,441118,South Asia,454.44,7002,2,2,2,2,2,3,3,4
Japan,2024,DDoS,IT,Insider,Unpatched Software,Antivirus,139.48,63,326120,East Asia,427.7,5177,2,2,2,2,2,2,2,2
China,2021,DDoS,Telecommunications,Nation-state,Weak Passwords,AI-based Detection,149.52,63,512571,East Asia,291.71,8136,2,2,3,2,2,1,2,4
USA,2023,Malware,Banking,Hacker Group,Zero-day,AI-based Detection,130.28,63,585089,Northern America,222.67,9287,2,2,3,2,2,3,3,3
UK,2023,DDoS,Government,Hacker Group,Social Engineering,Encryption,135.17,63,274746,Northern Europe,491.98,4361,2,2,2,2,2,1,2,2
Australia,2023,DDoS,IT,Hacker Group,Zero-day,Antivirus,69.04,63,202050,Oceania,341.7,3207,1,2,1,1,2,3,3,1
India,2019,Phishing,IT,Nation-state,Zero-day,VPN,80.49,63,334732,South Asia,240.46,5313,1,2,2,2,1,3,2,4
India,2019,Phishing,Healthcare,Nation-state,Zero-day,VPN,171.78,63,401842,South Asia,427.48,6378,2,2,2,2,1,3,2,4
India,2019,Ransomware,Telecommunications,Unknown,Social Engineering,AI-based Detection,59.91,63,184374,South Asia,324.94,2927,1,2,1,1,2,1,2,4
Australia,2023,Ransomware,Retail,Insider,Social Engineering,AI-based Detection,49.74,63,201512,Oceania,246.83,3199,1,2,1,1,2,1,2,1
Australia,2017,Ransomware,Government,Unknown,Weak Passwords,AI-based Detection,38.53,63,104902,Oceania,367.3,1665,1,2,1,1,2,1,2,1
UK,2021,Ransomware,Banking,Unknown,Unpatched Software,Firewall,154.52,63,403932,Northern Europe,382.54,6412,2,2,2,2,2,2,2,2
USA,2022,Ransomware,IT,Insider,Zero-day,Firewall,102.52,63,463510,Northern America,221.18,7357,1,2,3,2,2,3,3,3
France,2019,Ransomware,Education,Nation-state,Unpatched Software,Firewall,90.73,63,208693,Western Europe,434.75,3313,1,2,1,1,2,2,2,2
Australia,2020,Ransomware,Government,Insider,Unpatched Software,VPN,110.58,63,195911,Oceania,564.44,3110,1,2,1,1,2,2,2,1
Brazil,2017,Phishing,Banking,Hacker Group,Zero-day,Encryption,90.2,63,227616,South America,396.28,3613,1,2,2,2,1,3,2,3
USA,2017,Malware,Education,Hacker Group,Unpatched Software,Firewall,46.11,63,276114,Northern America,167,4383,1,2,2,2,2,2,2,3
Australia,2019,Ransomware,Banking,Insider,Weak Passwords,Encryption,131.17,63,229244,Oceania,572.19,3639,2,2,2,2,2,1,2,1
Russia,2024,Malware,Government,Hacker Group,Zero-day,Firewall,105.91,63,367664,Eastern Europe,288.06,5836,1,2,2,2,2,3,3,5
France,2017,DDoS,Retail,Hacker Group,Zero-day,Encryption,55.15,63,108477,Western Europe,508.4,1722,1,2,1,1,2,3,3,2
France,2018,DDoS,Government,Hacker Group,Social Engineering,Antivirus,109.11,63,143090,Western Europe,762.53,2271,1,2,1,1,2,1,2,2
USA,2020,Ransomware,Telecommunications,Unknown,Social Engineering,VPN,82.84,63,359978,Northern America,230.13,5714,1,2,2,2,2,1,2,3
Germany,2023,Ransomware,Healthcare,Unknown,Weak Passwords,AI-based Detection,145.75,63,355239,Western Europe,410.29,5639,2,2,2,2,2,1,2,2
India,2018,Ransomware,Banking,Insider,Social Engineering,AI-based Detection,185.14,63,275286,South Asia,672.54,4370,2,2,2,2,2,1,2,4
Germany,2024,Malware,Telecommunications,Nation-state,Zero-day,Antivirus,143.81,63,435258,Western Europe,330.4,6909,2,2,2,2,2,3,3,2
Australia,2021,Malware,Telecommunications,Hacker Group,Zero-day,AI-based Detection,10.63,64,199645,Oceania,53.24,3119,1,2,1,1,2,3,3,1
Australia,2015,DDoS,Government,Nation-state,Zero-day,Antivirus,114.83,64,109853,Oceania,1045.31,1716,1,2,1,1,2,3,3,1
UK,2024,Ransomware,Banking,Hacker Group,Weak Passwords,Antivirus,260.48,64,565039,Northern Europe,460.99,8829,3,2,3,3,2,1,2,2
Japan,2018,Ransomware,Education,Unknown,Unpatched Software,Antivirus,38.04,64,103344,East Asia,368.09,1615,1,2,1,1,2,2,2,2
UK,2021,DDoS,Banking,Nation-state,Zero-day,AI-based Detection,161.8,64,299464,Northern Europe,540.3,4679,2,2,2,2,2,3,3,2
USA,2021,DDoS,Telecommunications,Hacker Group,Weak Passwords,Firewall,152.26,64,351358,Northern America,433.35,5490,2,2,2,2,2,1,2,3
India,2024,Ransomware,Government,Hacker Group,Social Engineering,Firewall,126.78,64,283025,South Asia,447.95,4422,1,2,2,2,2,1,2,4
France,2024,Ransomware,Banking,Unknown,Unpatched Software,AI-based Detection,120.27,64,353548,Western Europe,340.18,5524,1,2,2,2,2,2,2,2
USA,2021,Ransomware,Education,Insider,Social Engineering,VPN,58.51,64,328919,Northern America,177.89,5139,1,2,2,2,2,1,2,3
Russia,2023,DDoS,Banking,Hacker Group,Social Engineering,AI-based Detection,205.97,64,554753,Eastern Europe,371.28,8668,2,2,3,2,2,1,2,5
UK,2021,DDoS,Telecommunications,Nation-state,Weak Passwords,Antivirus,149.97,64,275186,Northern Europe,544.98,4300,2,2,2,2,2,1,2,2
Japan,2015,Malware,Retail,Nation-state,Social Engineering,VPN,97.55,64,179630,East Asia,543.06,2807,1,2,1,1,2,1,2,2
France,2017,DDoS,Healthcare,Hacker Group,Weak Passwords,Encryption,187.42,64,196032,Western Europe,956.07,3063,2,2,1,2,2,1,2,2
USA,2016,DDoS,IT,Hacker Group,Social Engineering,VPN,113.12,64,266989,Northern America,423.69,4172,1,2,2,2,2,1,2,3
Germany,2021,Malware,Government,Nation-state,Social Engineering,Firewall,75.86,64,290044,Western Europe,261.55,4532,1,2,2,2,2,1,2,2
Russia,2024,DDoS,Telecommunications,Nation-state,Unpatched Software,Encryption,162.62,64,502094,Eastern Europe,323.88,7845,2,2,3,2,2,2,2,5
Russia,2021,Ransomware,Healthcare,Unknown,Social Engineering,Antivirus,83.64,64,309036,Eastern Europe,270.65,4829,1,2,2,2,2,1,2,5
India,2022,Ransomware,Retail,Hacker Group,Social Engineering,AI-based Detection,70,64,224733,South Asia,311.48,3511,1,2,1,1,2,1,2,4
Japan,2021,DDoS,Banking,Hacker Group,Zero-day,Encryption,178.97,64,306644,East Asia,583.64,4791,2,2,2,2,2,3,3,2
UK,2016,DDoS,Retail,Hacker Group,Zero-day,Firewall,70.62,64,144568,Northern Europe,488.49,2259,1,2,1,1,2,3,3,2
Australia,2016,Malware,Retail,Nation-state,Weak Passwords,Antivirus,49.95,64,143186,Oceania,348.85,2237,1,2,1,1,2,1,2,1
France,2024,Phishing,Retail,Nation-state,Social Engineering,AI-based Detection,51.58,64,334307,Western Europe,154.29,5224,1,2,2,2,1,1,1,2
Germany,2024,Ransomware,Telecommunications,Insider,Zero-day,VPN,80.73,64,307878,Western Europe,262.21,4811,1,2,2,2,2,3,3,2
Brazil,2017,Ransomware,Education,Insider,Social Engineering,Antivirus,77.07,64,132986,South America,579.53,2078,1,2,1,1,2,1,2,3
Australia,2020,Ransomware,Telecommunications,Insider,Unpatched Software,Antivirus,104.19,64,208502,Oceania,499.71,3258,1,2,1,1,2,2,2,1
Japan,2020,Ransomware,Banking,Insider,Weak Passwords,Firewall,127.47,64,201430,East Asia,632.83,3147,1,2,1,1,2,1,2,2
Australia,2021,DDoS,Retail,Nation-state,Zero-day,Antivirus,69.21,64,155863,Oceania,444.04,2435,1,2,1,1,2,3,3,1
USA,2017,DDoS,IT,Hacker Group,Zero-day,VPN,198.81,65,355978,Northern America,558.49,5477,2,2,2,2,2,3,3,3
France,2018,Ransomware,Telecommunications,Hacker Group,Zero-day,AI-based Detection,121.69,65,239411,Western Europe,508.29,3683,1,2,2,2,2,3,3,2
France,2023,Malware,Healthcare,Hacker Group,Social Engineering,Firewall,164.07,65,378489,Western Europe,433.49,5823,2,2,2,2,2,1,2,2
France,2018,Ransomware,Banking,Nation-state,Unpatched Software,VPN,184.12,65,311479,Western Europe,591.12,4792,2,2,2,2,2,2,2,2
Russia,2024,DDoS,Education,Hacker Group,Social Engineering,VPN,65.16,65,367949,Eastern Europe,177.09,5661,1,2,2,2,2,1,2,5
China,2023,Malware,Education,Insider,Social Engineering,Antivirus,57,65,380460,East Asia,149.82,5853,1,2,2,2,2,1,2,4
Germany,2016,DDoS,Banking,Hacker Group,Weak Passwords,Antivirus,256.39,65,294374,Western Europe,870.97,4529,3,2,2,2,2,1,2,2
Japan,2022,Malware,Retail,Nation-state,Weak Passwords,Antivirus,120.96,65,313625,East Asia,385.68,4825,1,2,2,2,2,1,2,2
UK,2016,DDoS,Telecommunications,Hacker Group,Unpatched Software,Firewall,55.9,65,143120,Northern Europe,390.58,2202,1,2,1,1,2,2,2,2
USA,2021,Ransomware,Government,Hacker Group,Unpatched Software,AI-based Detection,163.46,65,448770,Northern America,364.24,6904,2,2,2,2,2,2,2,3
Australia,2016,DDoS,Education,Nation-state,Social Engineering,VPN,134.96,65,133098,Oceania,1013.99,2048,2,2,1,2,2,1,2,1
France,2017,DDoS,Healthcare,Hacker Group,Zero-day,Encryption,227.67,65,219602,Western Europe,1036.74,3378,2,2,1,2,2,3,3,2
Russia,2019,Malware,Banking,Nation-state,Weak Passwords,Firewall,181.19,65,395207,Eastern Europe,458.47,6080,2,2,2,2,2,1,2,5
Japan,2021,Man-in-the-Middle,Telecommunications,Nation-state,Social Engineering,Encryption,68.68,65,187204,East Asia,366.87,2880,1,2,1,1,3,1,2,2
UK,2022,Ransomware,IT,Unknown,Zero-day,Encryption,81.15,65,364772,Northern Europe,222.47,5612,1,2,2,2,2,3,3,2
Japan,2023,Malware,Telecommunications,Hacker Group,Social Engineering,AI-based Detection,105.78,65,326958,East Asia,323.53,5030,1,2,2,2,2,1,2,2
India,2015,Phishing,Healthcare,Hacker Group,Weak Passwords,Encryption,113.25,66,272235,South Asia,416,4125,1,2,2,2,1,1,1,4
China,2019,DDoS,Retail,Nation-state,Weak Passwords,Antivirus,78.66,66,364440,East Asia,215.84,5522,1,2,2,2,2,1,2,4
Germany,2024,Ransomware,Government,Unknown,Weak Passwords,VPN,73.36,66,283682,Western Europe,258.6,4298,1,2,2,2,2,1,2,2
Russia,2017,Ransomware,Education,Unknown,Social Engineering,Encryption,50.64,66,169399,Eastern Europe,298.94,2567,1,2,1,1,2,1,2,5
Germany,2022,DDoS,Telecommunications,Nation-state,Social Engineering,AI-based Detection,162.1,66,293420,Western Europe,552.45,4446,2,2,2,2,2,1,2,2
India,2019,Ransomware,Education,Insider,Zero-day,Firewall,116.13,66,210194,South Asia,552.49,3185,1,2,1,1,2,3,3,4
UK,2021,Ransomware,Telecommunications,Insider,Unpatched Software,Encryption,172.83,66,402692,Northern Europe,429.19,6101,2,2,2,2,2,2,2,2
Japan,2021,Malware,Retail,Hacker Group,Social Engineering,Firewall,74.24,66,258944,East Asia,286.7,3923,1,2,2,2,2,1,2,2
USA,2019,DDoS,Government,Hacker Group,Weak Passwords,Encryption,131.93,66,284971,Northern America,462.96,4318,2,2,2,2,2,1,2,3
UK,2021,Malware,Government,Nation-state,Weak Passwords,VPN,130.92,66,354179,Northern Europe,369.64,5366,2,2,2,2,2,1,2,2
Brazil,2017,DDoS,Government,Nation-state,Weak Passwords,Antivirus,111.09,66,196591,South America,565.08,2979,1,2,1,1,2,1,2,3
Brazil,2024,DDoS,Healthcare,Hacker Group,Unpatched Software,VPN,173.6,66,391256,South America,443.7,5928,2,2,2,2,2,2,2,3
Japan,2015,DDoS,Government,Hacker Group,Unpatched Software,VPN,80.33,66,126134,East Asia,636.86,1911,1,2,1,1,2,2,2,2
China,2017,Malware,IT,Hacker Group,Weak Passwords,Firewall,70.89,66,333287,East Asia,212.7,5050,1,2,2,2,2,1,2,4
Japan,2020,Phishing,Healthcare,Nation-state,Unpatched Software,Firewall,143.63,66,327375,East Asia,438.73,4960,2,2,2,2,1,2,2,2
China,2016,DDoS,IT,Hacker Group,Social Engineering,Firewall,110.44,66,391078,East Asia,282.4,5925,1,2,2,2,2,1,2,4
UK,2016,Malware,Healthcare,Nation-state,Weak Passwords,Antivirus,101.27,66,265211,Northern Europe,381.85,4018,1,2,2,2,2,1,2,2
Australia,2015,DDoS,Government,Hacker Group,Zero-day,Encryption,142.88,66,127594,Oceania,1119.8,1933,2,2,1,2,2,3,3,1
Japan,2016,Malware,Telecommunications,Hacker Group,Social Engineering,VPN,95.48,66,206363,East Asia,462.68,3127,1,2,1,1,2,1,2,2
France,2015,DDoS,Banking,Hacker Group,Zero-day,Encryption,125.98,66,148250,Western Europe,849.78,2246,1,2,1,1,2,3,3,2
Japan,2016,DDoS,Education,Nation-state,Social Engineering,Encryption,58.68,66,124649,East Asia,470.76,1889,1,2,1,1,2,1,2,2
Japan,2023,Ransomware,Retail,Hacker Group,Weak Passwords,Encryption,57.23,66,176360,East Asia,324.51,2672,1,2,1,1,2,1,2,2
Brazil,2022,DDoS,Education,Nation-state,Social Engineering,VPN,117.05,67,282685,South America,414.07,4219,1,2,2,2,2,1,2,3
China,2022,DDoS,Retail,Hacker Group,Zero-day,AI-based Detection,70.61,67,428304,East Asia,164.86,6393,1,2,2,2,2,3,3,4
Japan,2021,Malware,Retail,Nation-state,Social Engineering,AI-based Detection,41.83,67,232286,East Asia,180.08,3467,1,2,2,2,2,1,2,2
India,2020,Malware,Healthcare,Hacker Group,Unpatched Software,Encryption,137.43,67,383873,South Asia,358.01,5729,2,2,2,2,2,2,2,4
Australia,2023,Malware,Banking,Nation-state,Zero-day,AI-based Detection,139.57,67,363217,Oceania,384.26,5421,2,2,2,2,2,3,3,1
Germany,2017,Ransomware,Healthcare,Insider,Weak Passwords,Firewall,148.38,67,264257,Western Europe,561.5,3944,2,2,2,2,2,1,2,2
USA,2016,Ransomware,Government,Nation-state,Social Engineering,Antivirus,155.7,67,334894,Northern America,464.92,4998,2,2,2,2,2,1,2,3
France,2022,Phishing,Retail,Hacker Group,Unpatched Software,VPN,50.04,67,298558,Western Europe,167.61,4456,1,2,2,2,1,2,2,2
India,2015,Man-in-the-Middle,IT,Nation-state,Weak Passwords,AI-based Detection,111.35,67,207545,South Asia,536.51,3098,1,2,1,1,3,1,2,4
Japan,2017,Ransomware,Government,Unknown,Weak Passwords,Antivirus,102.12,67,131073,East Asia,779.11,1956,1,2,1,1,2,1,2,2
Brazil,2020,Ransomware,Banking,Nation-state,Zero-day,AI-based Detection,167.73,67,271744,South America,617.24,4056,2,2,2,2,2,3,3,3
Russia,2023,Ransomware,Healthcare,Insider,Social Engineering,VPN,257.67,67,521588,Eastern Europe,494.01,7785,3,2,3,3,2,1,2,5
Brazil,2020,Ransomware,IT,Hacker Group,Unpatched Software,AI-based Detection,117.47,67,244637,South America,480.18,3651,1,2,2,2,2,2,2,3
India,2022,Malware,Government,Hacker Group,Social Engineering,Antivirus,126.64,67,377927,South Asia,335.09,5641,1,2,2,2,2,1,2,4
Germany,2018,DDoS,Telecommunications,Nation-state,Weak Passwords,Firewall,153.52,67,235042,Western Europe,653.16,3508,2,2,2,2,2,1,2,2
Germany,2024,Phishing,Healthcare,Nation-state,Social Engineering,Firewall,76.21,67,392410,Western Europe,194.21,5857,1,2,2,2,1,1,1,2
USA,2015,Malware,Retail,Hacker Group,Social Engineering,Firewall,63.9,67,271234,Northern America,235.59,4048,1,2,2,2,2,1,2,3
USA,2021,Ransomware,Telecommunications,Unknown,Zero-day,Firewall,74.38,68,377690,Northern America,196.93,5554,1,2,2,2,2,3,3,3
Russia,2018,DDoS,IT,Nation-state,Social Engineering,AI-based Detection,114.39,68,362433,Eastern Europe,315.62,5330,1,2,2,2,2,1,2,5
Japan,2024,Malware,Telecommunications,Nation-state,Weak Passwords,VPN,114,68,352267,East Asia,323.62,5180,1,2,2,2,2,1,2,2
Japan,2022,DDoS,Education,Nation-state,Weak Passwords,VPN,110.92,68,242988,East Asia,456.48,3573,1,2,2,2,2,1,2,2
China,2015,DDoS,Education,Nation-state,Social Engineering,Antivirus,89.82,68,270409,East Asia,332.16,3977,1,2,2,2,2,1,2,4
Australia,2021,Malware,Telecommunications,Nation-state,Zero-day,Antivirus,157.4,68,327633,Oceania,480.42,4818,2,2,2,2,2,3,3,1
UK,2018,Ransomware,Government,Hacker Group,Social Engineering,AI-based Detection,101.56,68,255908,Northern Europe,396.86,3763,1,2,2,2,2,1,2,2
Australia,2020,DDoS,Healthcare,Hacker Group,Unpatched Software,AI-based Detection,117.08,68,187232,Oceania,625.32,2753,1,2,1,1,2,2,2,1
Japan,2021,Malware,Education,Nation-state,Weak Passwords,Encryption,70.07,68,247750,East Asia,282.83,3643,1,2,2,2,2,1,2,2
UK,2017,DDoS,Government,Nation-state,Zero-day,Antivirus,129.99,68,194726,Northern Europe,667.55,2864,2,2,1,2,2,3,3,2
China,2017,DDoS,Government,Nation-state,Social Engineering,Firewall,173.85,68,425388,East Asia,408.69,6256,2,2,2,2,2,1,2,4
India,2018,Ransomware,Retail,Unknown,Weak Passwords,Encryption,40.69,68,153634,South Asia,264.85,2259,1,2,1,1,2,1,2,4
France,2020,DDoS,IT,Nation-state,Social Engineering,Encryption,120.76,68,206650,Western Europe,584.37,3039,1,2,1,1,2,1,2,2
USA,2020,DDoS,Retail,Hacker Group,Unpatched Software,Firewall,76.58,68,266341,Northern America,287.53,3917,1,2,2,2,2,2,2,3
Russia,2015,Ransomware,IT,Insider,Weak Passwords,AI-based Detection,162.19,68,300805,Eastern Europe,539.19,4424,2,2,2,2,2,1,2,5
Germany,2020,Malware,Government,Hacker Group,Weak Passwords,Encryption,85.63,68,285872,Western Europe,299.54,4204,1,2,2,2,2,1,2,2
Brazil,2018,Phishing,Retail,Nation-state,Zero-day,Encryption,59.26,68,193832,South America,305.73,2850,1,2,1,1,1,3,2,3
Japan,2024,Malware,Telecommunications,Nation-state,Zero-day,AI-based Detection,74.26,68,319438,East Asia,232.47,4698,1,2,2,2,2,3,3,2
Russia,2016,Ransomware,Healthcare,Insider,Unpatched Software,VPN,247.01,68,380554,Eastern Europe,649.08,5596,2,2,2,2,2,2,2,5
Russia,2022,DDoS,Healthcare,Hacker Group,Zero-day,Firewall,108.46,68,417030,Eastern Europe,260.08,6133,1,2,2,2,2,3,3,5
Brazil,2019,Malware,Government,Nation-state,Zero-day,AI-based Detection,38.44,68,176533,South America,217.75,2596,1,2,1,1,2,3,3,3
USA,2024,Malware,Retail,Nation-state,Zero-day,Firewall,83.08,69,514874,Northern America,161.36,7462,1,2,3,2,2,3,3,3
China,2020,DDoS,Banking,Nation-state,Social Engineering,VPN,197.62,69,586984,East Asia,336.67,8507,2,2,3,2,2,1,2,4
Brazil,2018,Malware,Education,Nation-state,Zero-day,VPN,100.59,69,212794,South America,472.71,3084,1,2,1,1,2,3,3,3
Australia,2017,DDoS,Government,Hacker Group,Zero-day,AI-based Detection,106.11,69,130020,Oceania,816.11,1884,1,2,1,1,2,3,3,1
India,2016,DDoS,Education,Hacker Group,Unpatched Software,VPN,106.76,69,239562,South Asia,445.65,3472,1,2,2,2,2,2,2,4
Australia,2019,DDoS,IT,Nation-state,Weak Passwords,Encryption,127.37,69,195813,Oceania,650.47,2838,1,2,1,1,2,1,2,1
Germany,2021,Ransomware,Education,Hacker Group,Unpatched Software,AI-based Detection,114.11,69,272938,Western Europe,418.08,3956,1,2,2,2,2,2,2,2
France,2016,Ransomware,Healthcare,Insider,Unpatched Software,AI-based Detection,173.57,69,264925,Western Europe,655.17,3839,2,2,2,2,2,2,2,2
USA,2023,Malware,Retail,Nation-state,Weak Passwords,Antivirus,66.16,69,469887,Northern America,140.8,6810,1,2,3,2,2,1,2,3
France,2023,DDoS,Retail,Nation-state,Social Engineering,Antivirus,93.43,69,198364,Western Europe,471,2875,1,2,1,1,2,1,2,2
Germany,2016,Ransomware,Education,Hacker Group,Weak Passwords,AI-based Detection,127.23,69,203398,Western Europe,625.52,2948,1,2,1,1,2,1,2,2
China,2019,Ransomware,IT,Hacker Group,Zero-day,Encryption,140.99,69,331180,East Asia,425.72,4800,2,2,2,2,2,3,3,4
Brazil,2017,Ransomware,IT,Hacker Group,Unpatched Software,Encryption,105.67,69,197425,South America,535.24,2861,1,2,1,1,2,2,2,3
China,2019,Ransomware,Retail,Hacker Group,Unpatched Software,Firewall,60.05,69,224335,East Asia,267.68,3251,1,2,1,1,2,2,2,4
India,2017,DDoS,Retail,Hacker Group,Unpatched Software,AI-based Detection,57.08,69,221234,South Asia,258.01,3206,1,2,1,1,2,2,2,4
Russia,2017,DDoS,Education,Nation-state,Weak Passwords,Firewall,149.73,69,318210,Eastern Europe,470.54,4612,2,2,2,2,2,1,2,5
USA,2022,Ransomware,Education,Nation-state,Weak Passwords,Antivirus,93.99,69,397623,Northern America,236.38,5763,1,2,2,2,2,1,2,3
India,2023,Malware,Education,Hacker Group,Zero-day,VPN,54.99,69,328468,South Asia,167.41,4760,1,2,2,2,2,3,3,4
Japan,2020,Ransomware,Healthcare,Hacker Group,Unpatched Software,VPN,114.12,69,190781,East Asia,598.17,2765,1,2,1,1,2,2,2,2
France,2023,Ransomware,Education,Insider,Social Engineering,VPN,64.85,69,257614,Western Europe,251.73,3734,1,2,2,2,2,1,2,2
Germany,2015,Malware,Banking,Nation-state,Weak Passwords,VPN,80.86,69,233660,Western Europe,346.06,3386,1,2,2,2,2,1,2,2
China,2019,DDoS,Banking,Hacker Group,Zero-day,Antivirus,175.59,69,536262,East Asia,327.43,7772,2,2,3,2,2,3,3,4
